id,name,description,short_description,created_at,updated_at
178,mega_launcher,Strengthens aura and pulse moves to 1.5× their power.,Strengthens aura and pulse moves to 1.5× their power.,2020-11-05 21:14:55.14982,2020-11-05 21:14:55.14982
179,grass_pelt,Boosts Defense while grassy terrain is in effect.,Boosts Defense while grassy terrain is in effect.,2020-11-05 21:14:55.412713,2020-11-05 21:14:55.412713
180,symbiosis,Passes the bearer's held item to an ally when the ally uses up its item.,Passes the bearer's held item to an ally when the ally uses up its item.,2020-11-05 21:14:55.659964,2020-11-05 21:14:55.659964
181,tough_claws,Strengthens moves that make contact to 1.33× their power.,Strengthens moves that make contact to 1.33× their power.,2020-11-05 21:14:56.533026,2020-11-05 21:14:56.533026
182,pixilate,Turns the bearer's normal-type moves into fairy moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into fairy moves and strengthens them to 1.3× their power.,2020-11-05 21:14:56.740251,2020-11-05 21:14:56.740251
183,gooey,Lowers attacking Pokémon's Speed by one stage on contact.,Lowers attacking Pokémon's Speed by one stage on contact.,2020-11-05 21:14:57.018992,2020-11-05 21:14:57.018992
184,aerilate,Turns the bearer's normal-type moves into flying-type moves.  Moves changed by this ability have 1.3× their power.,Turns the bearer's normal moves into flying moves and strengthens them to 1.3× their power.,2020-11-05 21:14:58.1658,2020-11-05 21:14:58.1658
185,parental_bond,Lets the bearer hit twice with damaging moves.  The second hit has half power.,Lets the bearer hit twice with damaging moves.  The second hit has half power.,2020-11-05 21:14:58.75511,2020-11-05 21:14:58.75511
186,dark_aura,Strengthens dark moves for all friendly and opposing Pokémon.,Strengthens dark moves to 1.33× their power for all friendly and opposing Pokémon.,2020-11-05 21:14:58.978052,2020-11-05 21:14:58.978052
187,fairy_aura,Strengthens fairy moves for all friendly and opposing Pokémon.,Strengthens fairy moves to 1.33× their power for all friendly and opposing Pokémon.,2020-11-05 21:14:59.706258,2020-11-05 21:14:59.706258
282,shadow_dash,,,2020-11-05 21:16:07.677545,2020-11-05 21:16:07.677545
189,primordial_sea,"When this Pokémon enters battle or gains this ability, the weather becomes heavy rain.  Heavy rain has all the properties of rain dance and also causes damaging Fire moves to fail.

Heavy rain ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and desolate land.

air lock and cloud nine will prevent the effects of heavy rain, including allowing Fire moves to work, but will not allow the weather to be changed.","Creates heavy rain, which has all the properties of Rain Dance, cannot be replaced, and causes damaging Fire moves to fail.",2020-11-05 21:15:00.238876,2020-11-05 21:15:00.238876
190,desolate_land,"When this Pokémon enters battle or gains this ability, the weather becomes extremely harsh sunlight.  Extremely harsh sunlight has all the properties of sunny day and also causes damaging Water moves to fail.

Extremely harsh sunlight ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of delta stream and primordial sea.

air lock and cloud nine will prevent the effects of extremely harsh sunlight, including allowing Water moves to work, but will not allow the weather to be changed.","Creates extremely harsh sunlight, which has all the properties of Sunny Day, cannot be replaced, and causes damaging Water moves to fail.",2020-11-05 21:15:00.527522,2020-11-05 21:15:00.527522
191,delta_stream,"When this Pokémon enters battle or gains this ability, the weather becomes a mysterious air current.  A mysterious air current causes moves to not be super effective against Flying; they do neutral damage instead.  anticipation and stealth rock are not affected.

The mysterious air current ends when this Pokémon leaves battle or loses this ability, or when this ability is nullified.  The weather cannot otherwise be changed except by the effects of desolate land and primordial sea.

air lock and cloud nine will prevent the effect of a mysterious air current, but will not allow the weather to be changed.","Creates a mysterious air current, which cannot be replaced and causes moves to never be super effective against Flying Pokémon.",2020-11-05 21:15:00.784587,2020-11-05 21:15:00.784587
192,stamina,Raises this Pokémon's Defense by one stage when it takes damage from a move.,Raises this Pokémon's Defense by one stage when it takes damage from a move.,2020-11-05 21:15:01.038848,2020-11-05 21:15:01.038848
193,wimp_out,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",This Pokémon automatically switches out when its HP drops below half.,2020-11-05 21:15:01.306956,2020-11-05 21:15:01.306956
194,emergency_exit,"After this Pokémon is hit by a move, if that move caused this Pokémon's HP to drop below half, it switches out.",This Pokémon automatically switches out when its HP drops below half.,2020-11-05 21:15:01.606213,2020-11-05 21:15:01.606213
195,water_compaction,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,Raises this Pokémon's Defense by two stages when it's hit by a Water move.,2020-11-05 21:15:01.979601,2020-11-05 21:15:01.979601
196,merciless,This Pokémon's moves critical hit against poisoned targets.,This Pokémon's moves critical hit against poisoned targets.,2020-11-05 21:15:02.778378,2020-11-05 21:15:02.778378
197,shields_down,"When this Pokémon enters battle and at the end of each turn, if its HP is 50% or above, it changes into Meteor Form; otherwise, it changes into Core Form.  In Meteor Form, it cannot be given a major status ailment (though existing ones are not cured), cannot become drowsy from yawn, and cannot use rest (which will simply fail).

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Minior.",Transforms this Minior between Core Form and Meteor Form.  Prevents major status ailments and drowsiness while in Meteor Form.,2020-11-05 21:15:03.007337,2020-11-05 21:15:03.007337
198,stakeout,This Pokémon's moves have double power against Pokémon that switched in this turn.,This Pokémon's moves have double power against Pokémon that switched in this turn.,2020-11-05 21:15:03.699876,2020-11-05 21:15:03.699876
199,water_bubble,"When this Pokémon is hit by a Fire move, the damage is halved.  When this Pokémon uses a Water move, the power is doubled. This Pokémon cannot be burned, and if it becomes burned, the burn is immediately cured.","Halves damage from Fire moves, doubles damage of Water moves, and prevents burns.",2020-11-05 21:15:03.943825,2020-11-05 21:15:03.943825
200,steelworker,This Pokémon's Steel moves have 1.5× power.,This Pokémon's Steel moves have 1.5× power.,2020-11-05 21:15:04.176445,2020-11-05 21:15:04.176445
201,berserk,"Whenever this Pokémon takes damage from a move that causes its HP to drop below 50%, its Special Attack rises by one stage.",Raises this Pokémon's Special Attack by one stage every time its HP drops below half.,2020-11-05 21:15:04.746813,2020-11-05 21:15:04.746813
202,slush_rush,"During Hail, this Pokémon has double Speed.","During Hail, this Pokémon has double Speed.",2020-11-05 21:15:04.991736,2020-11-05 21:15:04.991736
203,long_reach,A move used by this Pokémon will not make contact.,This Pokémon's moves do not make contact.,2020-11-05 21:15:05.230929,2020-11-05 21:15:05.230929
204,liquid_voice,"When this Pokémon uses a move that is sound-based, that move's type is Water.",Sound-based moves become Water-type.,2020-11-05 21:15:05.486191,2020-11-05 21:15:05.486191
205,triage,This Pokémon's healing moves have their priority increased by 3.,This Pokémon's healing moves have their priority increased by 3.,2020-11-05 21:15:05.717852,2020-11-05 21:15:05.717852
206,galvanize,"When this Pokémon uses a Normal moves, that move is Electric its power is 1.2×.",This Pokémon's Normal moves are Electric and have their power increased to 1.2×.,2020-11-05 21:15:06.566156,2020-11-05 21:15:06.566156
207,surge_surfer,Doubles this Pokémon's Speed on Electric Terrain.,Doubles this Pokémon's Speed on Electric Terrain.,2020-11-05 21:15:06.774031,2020-11-05 21:15:06.774031
208,schooling,"If this Pokémon is a wishiwashi and level 20 or above, then when it enters battle and at the start of each turn, it becomes Schooling Form if its HP is 25% or higher and Solo Form otherwise.

This ability cannot be replaced, copied, or nullified.",Wishiwashi becomes Schooling Form when its HP is 25% or higher.,2020-11-05 21:15:07.372488,2020-11-05 21:15:07.372488
209,disguise,"If this Pokémon is in its Disguised Form and takes damage from a move, it switches to its Busted Form and the damage is prevented.  Other effects are not prevented.

This ability cannot be copied or replaced.  This ability only takes effect for Mimikyu.",Prevents the first instance of battle damage.,2020-11-05 21:15:07.620483,2020-11-05 21:15:07.620483
210,battle_bond,"Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.

This ability cannot be copied or replaced.  This ability only takes effect for Greninja.",Transforms this Pokémon into Ash-Greninja after fainting an opponent.  Water Shuriken's power is 20 and always hits three times.,2020-11-05 21:15:07.888559,2020-11-05 21:15:07.888559
211,power_construct,"Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.

This ability cannot be copied or replaced.  This ability only takes effect for Zygarde.",Transforms 10% or 50% Zygarde into Complete Forme when its HP is below 50%.,2020-11-05 21:15:08.13661,2020-11-05 21:15:08.13661
212,corrosion,This Pokémon's moves and item ignore the usual immunity of Poison and Steel Pokémon when attempting to inflict poison.,This Pokémon can inflict poison on Poison and Steel Pokémon.,2020-11-05 21:15:08.35459,2020-11-05 21:15:08.35459
283,sprint,,,2020-11-05 21:16:08.181257,2020-11-05 21:16:08.181257
284,disgust,,,2020-11-05 21:16:09.234413,2020-11-05 21:16:09.234413
213,comatose,This Pokémon always acts as though it were Asleep.  It cannot be given another status ailment; it's unaffected by yawn; it can use sleep talk; and so on.,This Pokémon always  acts as though it were Asleep.,2020-11-05 21:15:08.648859,2020-11-05 21:15:08.648859
214,queenly_majesty,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",Opposing Pokémon cannot use priority attacks.,2020-11-05 21:15:09.303813,2020-11-05 21:15:09.303813
215,innards_out,"When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.","When this Pokémon faints from an opponent's move, that opponent takes damage equal to the HP this Pokémon had remaining.",2020-11-05 21:15:09.53779,2020-11-05 21:15:09.53779
216,dancer,"Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.","Whenever another Pokémon uses a dance move, this Pokémon will use the same move immediately afterwards.",2020-11-05 21:15:10.251087,2020-11-05 21:15:10.251087
217,battery,Ally Pokémon's moves have their power increased to 1.3×.,Ally Pokémon's moves have their power increased to 1.3×.,2020-11-05 21:15:10.968188,2020-11-05 21:15:10.968188
218,fluffy,Damage from contact moves is halved.  Damage from Fire moves is doubled.,Damage from contact moves is halved.  Damage from Fire moves is doubled.,2020-11-05 21:15:11.788095,2020-11-05 21:15:11.788095
219,dazzling,"When an opposing Pokémon attempts to use a move that targets this Pokémon or an ally, and that move has priority, it will fail.",Opposing Pokémon cannot use priority attacks.,2020-11-05 21:15:12.015492,2020-11-05 21:15:12.015492
220,soul_heart,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,This Pokémon's Special Attack rises by one stage every time any Pokémon faints.,2020-11-05 21:15:12.25136,2020-11-05 21:15:12.25136
221,tangling_hair,"When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.","When this Pokémon takes regular damage from a contact move, the attacking Pokémon's Speed lowers by one stage.",2020-11-05 21:15:13.014514,2020-11-05 21:15:13.014514
222,receiver,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability.",2020-11-05 21:15:13.233093,2020-11-05 21:15:13.233093
223,power_of_alchemy,"When an ally faints, this Pokémon gains its Ability.","When an ally faints, this Pokémon gains its Ability.",2020-11-05 21:15:14.040559,2020-11-05 21:15:14.040559
224,beast_boost,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,Raises this Pokémon's highest stat by one stage when it faints another Pokémon.,2020-11-05 21:15:15.169075,2020-11-05 21:15:15.169075
225,rks_system,"Changes this Pokémon's type to match its held Memory.

This ability cannot be copied, replaced, or nullified.  This ability only takes effect for Silvally.",Changes this Pokémon's type to match its held Memory.,2020-11-05 21:15:15.42007,2020-11-05 21:15:15.42007
226,electric_surge,"When this Pokémon enters battle, it changes the terrain to electric terrain.","When this Pokémon enters battle, it changes the terrain to Electric Terrain.",2020-11-05 21:15:15.689918,2020-11-05 21:15:15.689918
227,psychic_surge,"When this Pokémon enters battle, it changes the terrain to psychic terrain.","When this Pokémon enters battle, it changes the terrain to Psychic Terrain.",2020-11-05 21:15:16.303776,2020-11-05 21:15:16.303776
228,misty_surge,"When this Pokémon enters battle, it changes the terrain to misty terrain.","When this Pokémon enters battle, it changes the terrain to Misty Terrain.",2020-11-05 21:15:16.806254,2020-11-05 21:15:16.806254
229,grassy_surge,"When this Pokémon enters battle, it changes the terrain to grassy terrain.","When this Pokémon enters battle, it changes the terrain to Grassy Terrain.",2020-11-05 21:15:17.105216,2020-11-05 21:15:17.105216
230,full_metal_body,"This Pokémon's stats cannot be lowered by other Pokémon's moves or abilities.  This effect only applies to normal stat modifications and not more exotic effects such as topsy turvy or power swap.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Other Pokémon cannot lower this Pokémon's stats.,2020-11-05 21:15:18.140116,2020-11-05 21:15:18.140116
231,shadow_shield,"When this Pokémon has full HP, regular damage (not fixed damage!) from moves is halved.

This ability cannot be nullified.","When this Pokémon has full HP, regular damage from moves is halved.",2020-11-05 21:15:18.373475,2020-11-05 21:15:18.373475
232,prism_armor,"Super-effective damage this Pokémon takes is reduced to 0.75×.

This Ability is not bypassed by mold breaker, teravolt, or turboblaze.",Reduces super-effective damage to 0.75×.,2020-11-05 21:15:18.957172,2020-11-05 21:15:18.957172
233,neuroforce,XXX new effect for neuroforce,XXX new effect for neuroforce,2020-11-05 21:15:19.181151,2020-11-05 21:15:19.181151
234,mountaineer,,,2020-11-05 21:15:19.792565,2020-11-05 21:15:19.792565
235,wave_rider,,,2020-11-05 21:15:20.797452,2020-11-05 21:15:20.797452
236,skater,,,2020-11-05 21:15:21.286688,2020-11-05 21:15:21.286688
237,thrust,,,2020-11-05 21:15:22.285118,2020-11-05 21:15:22.285118
238,perception,,,2020-11-05 21:15:22.897211,2020-11-05 21:15:22.897211
239,parry,,,2020-11-05 21:15:24.189134,2020-11-05 21:15:24.189134
240,instinct,,,2020-11-05 21:15:25.202484,2020-11-05 21:15:25.202484
241,dodge,,,2020-11-05 21:15:26.440741,2020-11-05 21:15:26.440741
242,jagged_edge,,,2020-11-05 21:15:27.586829,2020-11-05 21:15:27.586829
243,frostbite,,,2020-11-05 21:15:28.647788,2020-11-05 21:15:28.647788
244,tenacity,,,2020-11-05 21:15:29.400724,2020-11-05 21:15:29.400724
245,pride,,,2020-11-05 21:15:30.424162,2020-11-05 21:15:30.424162
246,deep_sleep,,,2020-11-05 21:15:31.345594,2020-11-05 21:15:31.345594
247,power_nap,,,2020-11-05 21:15:32.164995,2020-11-05 21:15:32.164995
248,spirit,,,2020-11-05 21:15:33.085339,2020-11-05 21:15:33.085339
249,warm_blanket,,,2020-11-05 21:15:34.209951,2020-11-05 21:15:34.209951
250,gulp,,,2020-11-05 21:15:35.443885,2020-11-05 21:15:35.443885
251,herbivore,,,2020-11-05 21:15:36.876095,2020-11-05 21:15:36.876095
252,sandpit,,,2020-11-05 21:15:37.593923,2020-11-05 21:15:37.593923
253,hot_blooded,,,2020-11-05 21:15:38.821377,2020-11-05 21:15:38.821377
254,medic,,,2020-11-05 21:15:39.948517,2020-11-05 21:15:39.948517
255,life_force,,,2020-11-05 21:15:40.97012,2020-11-05 21:15:40.97012
256,lunchbox,,,2020-11-05 21:15:42.097138,2020-11-05 21:15:42.097138
257,nurse,,,2020-11-05 21:15:43.2263,2020-11-05 21:15:43.2263
258,melee,,,2020-11-05 21:15:43.835261,2020-11-05 21:15:43.835261
259,sponge,,,2020-11-05 21:15:44.338559,2020-11-05 21:15:44.338559
260,bodyguard,,,2020-11-05 21:15:44.834485,2020-11-05 21:15:44.834485
261,hero,,,2020-11-05 21:15:46.115804,2020-11-05 21:15:46.115804
262,last_bastion,,,2020-11-05 21:15:46.809574,2020-11-05 21:15:46.809574
263,stealth,,,2020-11-05 21:15:47.83377,2020-11-05 21:15:47.83377
264,vanguard,,,2020-11-05 21:15:49.077802,2020-11-05 21:15:49.077802
265,nomad,,,2020-11-05 21:15:50.289166,2020-11-05 21:15:50.289166
266,sequence,,,2020-11-05 21:15:51.315953,2020-11-05 21:15:51.315953
267,grass_cloak,,,2020-11-05 21:15:52.237663,2020-11-05 21:15:52.237663
268,celebrate,,,2020-11-05 21:15:52.987683,2020-11-05 21:15:52.987683
269,lullaby,,,2020-11-05 21:15:54.097927,2020-11-05 21:15:54.097927
270,calming,,,2020-11-05 21:15:54.677807,2020-11-05 21:15:54.677807
271,daze,,,2020-11-05 21:15:55.994516,2020-11-05 21:15:55.994516
272,frighten,,,2020-11-05 21:15:57.048503,2020-11-05 21:15:57.048503
273,interference,,,2020-11-05 21:15:57.731734,2020-11-05 21:15:57.731734
274,mood_maker,,,2020-11-05 21:15:58.791203,2020-11-05 21:15:58.791203
275,confidence,,,2020-11-05 21:16:00.223938,2020-11-05 21:16:00.223938
276,fortune,,,2020-11-05 21:16:01.350305,2020-11-05 21:16:01.350305
277,bonanza,,,2020-11-05 21:16:02.476329,2020-11-05 21:16:02.476329
278,explode,,,2020-11-05 21:16:02.993628,2020-11-05 21:16:02.993628
279,omnipotent,,,2020-11-05 21:16:04.212699,2020-11-05 21:16:04.212699
280,share,,,2020-11-05 21:16:05.23753,2020-11-05 21:16:05.23753
281,black_hole,,,2020-11-05 21:16:06.470142,2020-11-05 21:16:06.470142
288,aqua_boost,,,2020-11-05 21:16:13.227432,2020-11-05 21:16:13.227432
289,run_up,,,2020-11-05 21:16:14.657261,2020-11-05 21:16:14.657261
290,conqueror,,,2020-11-05 21:16:15.214568,2020-11-05 21:16:15.214568
291,shackle,,,2020-11-05 21:16:16.299964,2020-11-05 21:16:16.299964
292,decoy,,,2020-11-05 21:16:17.014808,2020-11-05 21:16:17.014808
293,shield,,,2020-11-05 21:16:17.938752,2020-11-05 21:16:17.938752
294,grassysurge,Turns the ground into Grassy Terrain when the Pokémon enters a battle.,,2020-11-05 21:41:55.602706,2020-11-05 21:41:55.602706
295,libero,Changes the Pokémon's type to the type of the move it's about to use.,,2020-11-05 21:41:59.050642,2020-11-05 21:41:59.050642
296,cheekpouch,Restores HP as well when the Pokémon eats a Berry.,,2020-11-05 21:42:05.357636,2020-11-05 21:42:05.357636
297,keeneye,Keen eyes prevent other Pokémon from lowering this Pokémon's accuracy.,,2020-11-05 21:42:07.509429,2020-11-05 21:42:07.509429
298,bigpecks,Protects the Pokémon from Defense-lowering effects.,,2020-11-05 21:42:07.963307,2020-11-05 21:42:07.963307
299,mirrorarmor,Bounces back only the stat-lowering effects that the Pokémon receives.,,2020-11-05 21:42:10.2849,2020-11-05 21:42:10.2849
300,compoundeyes,The Pokémon's compound eyes boost its accuracy.,,2020-11-05 21:42:11.506176,2020-11-05 21:42:11.506176
301,runaway,Enables a sure getaway from wild Pokémon.,,2020-11-05 21:42:14.937507,2020-11-05 21:42:14.937507
302,cottondown,"When the Pokémon is hit by an attack, it scatters cotton fluff around and lowers the Speed stat of all Pokémon except itself.",,2020-11-05 21:42:17.553707,2020-11-05 21:42:17.553707
303,effectspore,"Contact with the Pokémon may inflict poison, sleep, or paralysis on its attacker.",,2020-11-05 21:42:18.019427,2020-11-05 21:42:18.019427
304,strongjaw,The Pokémon's strong jaw boosts the power of its biting moves.,,2020-11-05 21:42:22.911435,2020-11-05 21:42:22.911435
305,shellarmor,A hard shell protects the Pokémon from critical hits.,,2020-11-05 21:42:23.286678,2020-11-05 21:42:23.286678
306,swiftswim,Boosts the Pokémon's Speed stat in rain.,,2020-11-05 21:42:23.665693,2020-11-05 21:42:23.665693
307,ballfetch,"If the Pokémon is not holding an item, it will fetch the Poké Ball from the first failed throw of the battle.",,2020-11-05 21:42:26.214193,2020-11-05 21:42:26.214193
308,steamengine,Boosts the Pokémon's Speed stat drastically if hit by a Fire- or Water-type move.,,2020-11-05 21:42:28.555873,2020-11-05 21:42:28.555873
309,flashfire,Powers up the Pokémon's Fire-type moves if it's hit by one.,,2020-11-05 21:42:28.9574,2020-11-05 21:42:28.9574
310,flamebody,Contact with the Pokémon may burn the attacker.,,2020-11-05 21:42:30.296841,2020-11-05 21:42:30.296841
311,ripen,Ripens Berries and doubles their effect.,,2020-11-05 21:42:32.711128,2020-11-05 21:42:32.711128
312,thickfat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves.",,2020-11-05 21:42:35.409209,2020-11-05 21:42:35.409209
313,sandspit,The Pokémon creates a sandstorm when it's hit by an attack.,,2020-11-05 21:42:36.749138,2020-11-05 21:42:36.749138
314,shedskin,The Pokémon may heal its own status conditions by shedding its skin.,,2020-11-05 21:42:37.096387,2020-11-05 21:42:37.096387
315,sandveil,Boosts the Pokémon's evasion in a sandstorm.,,2020-11-05 21:42:37.55682,2020-11-05 21:42:37.55682
316,gulpmissile,"When the Pokémon uses Surf or Dive, it will come back with prey. When it takes damage, it will spit out the prey to attack.",,2020-11-05 21:42:39.810989,2020-11-05 21:42:39.810989
317,propellertail,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,,2020-11-05 21:42:40.917936,2020-11-05 21:42:40.917936
318,punkrock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,,2020-11-05 21:42:44.34199,2020-11-05 21:42:44.34199
319,whitesmoke,"The Pokémon is protected by its white smoke, which prevents other Pokémon from lowering its stats.",,2020-11-05 21:42:47.207112,2020-11-05 21:42:47.207112
320,weakarmor,Physical attacks to the Pokémon lower its Defense stat but sharply raise its Speed stat.,,2020-11-05 21:42:51.223709,2020-11-05 21:42:51.223709
321,cursedbody,May disable a move used on the Pokémon.,,2020-11-05 21:42:51.582049,2020-11-05 21:42:51.582049
322,magicbounce,"Reflects status moves, instead of getting hit by them.",,2020-11-05 21:42:53.726317,2020-11-05 21:42:53.726317
323,battlearmor,Hard armor protects the Pokémon from critical hits.,,2020-11-05 21:43:01.126955,2020-11-05 21:43:01.126955
324,toughclaws,Powers up moves that make direct contact.,,2020-11-05 21:43:01.5125,2020-11-05 21:43:01.5125
325,steelyspirit,Powers up ally Pokémon's Steel-type moves.,,2020-11-05 21:43:01.906457,2020-11-05 21:43:01.906457
326,perishbody,"When hit by a move that makes direct contact, the Pokémon and the attacker will faint after three turns unless they switch out of battle.",,2020-11-05 21:43:03.224223,2020-11-05 21:43:03.224223
327,tangledfeet,Raises evasion if the Pokémon is confused.,,2020-11-05 21:43:05.511848,2020-11-05 21:43:05.511848
328,screencleaner,"When the Pokémon enters a battle, the effects of Light Screen, Reflect, and Aurora Veil are nullified for both opposing and ally Pokémon.",,2020-11-05 21:43:05.890703,2020-11-05 21:43:05.890703
329,icebody,The Pokémon gradually regains HP in a hailstorm.,,2020-11-05 21:43:06.250799,2020-11-05 21:43:06.250799
330,wanderingspirit,The Pokémon exchanges Abilities with a Pokémon that hits it with a move that makes direct contact.,,2020-11-05 21:43:07.507216,2020-11-05 21:43:07.507216
331,sweetveil,Prevents itself and ally Pokémon from falling asleep.,,2020-11-05 21:43:08.632541,2020-11-05 21:43:08.632541
332,aromaveil,Protects itself and its allies from attacks that limit their move choices.,,2020-11-05 21:43:09.021206,2020-11-05 21:43:09.021206
333,lightningrod,"The Pokémon draws in all Electric-type moves.  Instead of being hit by Electric-type moves,  it boosts its Sp. Atk.",,2020-11-05 21:43:11.871505,2020-11-05 21:43:11.871505
334,electricsurge,Turns the ground into Electric Terrain when the Pokémon enters a battle.,,2020-11-05 21:43:12.284905,2020-11-05 21:43:12.284905
335,shielddust,This Pokémon's dust blocks the additional effects of attacks taken.,,2020-11-05 21:43:13.550371,2020-11-05 21:43:13.550371
336,icescales,"The Pokémon is protected by ice scales, which halve the damage taken from special moves.",,2020-11-05 21:43:13.973342,2020-11-05 21:43:13.973342
337,powerspot,Just being next to the Pokémon powers up moves.,,2020-11-05 21:43:16.087938,2020-11-05 21:43:16.087938
338,iceface,"The Pokémon's ice head can take a physical attack as a substitute, but the attack also changes the Pokémon's appearance. The ice will be restored when it hails.",,2020-11-05 21:43:17.303163,2020-11-05 21:43:17.303163
339,innerfocus,"The Pokémon's intensely focused, and that protects the Pokémon from flinching.",,2020-11-05 21:43:19.443565,2020-11-05 21:43:19.443565
340,psychicsurge,Turns the ground into Psychic Terrain when the Pokémon enters a battle.,,2020-11-05 21:43:19.857972,2020-11-05 21:43:19.857972
341,owntempo,"This Pokémon has its own tempo, and that prevents it from becoming confused.",,2020-11-05 21:43:20.274835,2020-11-05 21:43:20.274835
342,hungerswitch,"The Pokémon changes its form, alternating between its Full Belly Mode and Hangry Mode after the end of each turn.",,2020-11-05 21:43:23.081629,2020-11-05 21:43:23.081629
343,sheerforce,Removes additional effects to increase the power of moves when attacking.,,2020-11-05 21:43:24.36544,2020-11-05 21:43:24.36544
344,heavymetal,Doubles the Pokémon's weight.,,2020-11-05 21:43:24.747551,2020-11-05 21:43:24.747551
345,voltabsorb,"Restores HP if hit by an Electric-type move, instead of taking damage.",,2020-11-05 21:43:26.94042,2020-11-05 21:43:26.94042
346,sandrush,Boosts the Pokémon's Speed stat in a sandstorm.,,2020-11-05 21:43:27.365032,2020-11-05 21:43:27.365032
347,slushrush,Boosts the Pokémon's Speed stat in a hailstorm.,,2020-11-05 21:43:28.678814,2020-11-05 21:43:28.678814
348,waterabsorb,"Restores HP if hit by a Water-type move, instead of taking damage.",,2020-11-05 21:43:29.958238,2020-11-05 21:43:29.958238
349,lightmetal,Halves the Pokémon's weight.,,2020-11-05 21:43:32.408985,2020-11-05 21:43:32.408985
350,stalwart,Ignores the effects of opposing Pokémon's Abilities and moves that draw in moves.,,2020-11-05 21:43:32.873351,2020-11-05 21:43:32.873351
351,clearbody,Prevents other Pokémon's moves or Abilities from lowering the Pokémon's stats.,,2020-11-05 21:43:34.169954,2020-11-05 21:43:34.169954
352,intrepidsword,Boosts the Pokémon's Attack stat when the Pokémon enters a battle.,,2020-11-05 21:43:37.415127,2020-11-05 21:43:37.415127
353,dauntlessshield,Boosts the Pokémon's Defense stat when the Pokémon enters a battle.,,2020-11-05 21:43:39.279588,2020-11-05 21:43:39.279588
354,unseenfist,"The Pokémon can deal damage with moves that make physical contact, even if the target is protected.",,2020-11-05 21:43:43.041635,2020-11-05 21:43:43.041635
355,leafguard,Prevents status conditions in sunny weather.,,2020-11-05 21:43:44.940185,2020-11-05 21:43:44.940185
356,transistor,Powers up Electric-type moves.,,2020-11-05 21:43:46.141069,2020-11-05 21:43:46.141069
357,dragon'smaw,Powers up Dragon-type moves.,,2020-11-05 21:43:47.336349,2020-11-05 21:43:47.336349
358,chillingneigh,"When the Pokémon knocks out a target, it utters a chilling neigh, which boosts its Attack stat.",,2020-11-05 21:43:48.436402,2020-11-05 21:43:48.436402
359,grimneigh,"When the Pokémon knocks out a target, it utters a terrifying neigh, which boosts its Special Attack stat.",,2020-11-05 21:43:49.554779,2020-11-05 21:43:49.554779
360,pastelveil,Protects the Pokémon and its ally Pokémon from being poisoned.,,2020-11-05 21:43:52.509217,2020-11-05 21:43:52.509217
361,quickdraw,Enables the Pokémon to move first occasionally.,,2020-11-05 21:43:56.858884,2020-11-05 21:43:56.858884
362,neutralizinggas,"If the Pokémon with Neutralizing Gas is in the battle, the effects of all Pokémon's Abilities will be nullified or will not be triggered.",,2020-11-05 21:43:59.854887,2020-11-05 21:43:59.854887
363,mistysurge,Turns the ground into Misty Terrain when the Pokémon enters a battle.,,2020-11-05 21:44:00.197471,2020-11-05 21:44:00.197471
364,vitalspirit,"The Pokémon is full of vitality, and that prevents it from falling asleep.",,2020-11-05 21:44:01.969396,2020-11-05 21:44:01.969396
365,curiousmedicine,"When the Pokémon  is brought into battle, any stat alterations of allies are removed",,2020-11-05 21:44:07.931718,2020-11-05 21:44:07.931718
366,quickfeet,Boosts the Speed stat if the Pokémon has a status condition.,,2020-11-05 21:44:11.111426,2020-11-05 21:44:11.111426
367,gorillatactics,Boosts the Pokémon's Attack stat but only allows the use of the first selected move.,,2020-11-05 21:44:15.443812,2020-11-05 21:44:15.443812
368,zenmode,Changes the Pokémon's shape when HP is half or less.,,2020-11-05 21:44:15.75832,2020-11-05 21:44:15.75832
